Da2ira,,ListName,ListExtraVote,,Candidate Name,Religion,Da2ira Soughra,List,Votes,Pref Votes %,Win/Loss,,ListName,Total Votes,,Hasel(s)
جبل لبنان الأولى,,List1,200.0,,Laurent,ماروني,جبيل,List3,6300,21.39,Winner,,List1,32800.0,,11250.0
,,List2,150.0,,A_L4,ماروني,كسروان,List4,10200,18.21,Winner,,List2,16875.0,,
,,List3,175.0,,Mohsen_L1,شيعي,جبيل,List1,5000,16.98,Winner,,List3,16875.0,,
,,List4,3900.0,,A_L2,ماروني,كسروان,List2,8925,15.93,Winner,,List4,23350.0,,
,,Blank,100.0,,Walid_L1,ماروني,جبيل,List1,4200,14.26,Winner,,,,,
,,,,,Fadi_L1,ماروني,كسروان,List1,7000,12.49,Winner,,,,,
,,,,,C_L4,ماروني,جبيل,List4,3000,10.19,Loser,,,,,
,,,,,Nadim,ماروني,جبيل,List3,3000,10.19,Loser,,,,,
,,,,,D_L4,شيعي,جبيل,List4,2750,9.34,Loser,,,,,
,,,,,Jano_L1,ماروني,كسروان,List1,5000,8.92,Loser,,,,,
,,,,,Franco_L1,ماروني,جبيل,List1,2100,7.13,Loser,,,,,
,,,,,F_L2,ماروني,جبيل,List2,2000,6.79,Loser,,,,,
,,,,,B_L4,ماروني,كسروان,List4,3500,6.25,Winner,,,,,
,,,,,Elie_L1,ماروني,كسروان,List1,3500,6.25,Loser,,,,,
,,,,,Charbel_L1,ماروني,كسروان,List1,3000,5.35,Loser,,,,,
,,,,,Tony_L1,ماروني,كسروان,List1,2800,5.0,Loser,,,,,
,,,,,Hanna,ماروني,كسروان,List3,2800,5.0,Loser,,,,,
,,,,,D_L2,ماروني,كسروان,List2,2200,3.93,Winner,,,,,
,,,,,Nicolas,ماروني,كسروان,List3,2100,3.75,Loser,,,,,
,,,,,Karim,ماروني,كسروان,List3,1700,3.03,Loser,,,,,
,,,,,B_L2,ماروني,كسروان,List2,1700,3.03,Loser,,,,,
,,,,,Hassan_L2,شيعي,جبيل,List2,800,2.72,Loser,,,,,
,,,,,Jack,ماروني,كسروان,List3,600,1.07,Loser,,,,,
,,,,,G_L2,ماروني,جبيل,List2,300,1.02,Loser,,,,,
,,,,,C_L2,ماروني,كسروان,List2,400,0.71,Loser,,,,,
,,,,,E_L2,ماروني,كسروان,List2,400,0.71,Loser,,,,,
,,,,,Mounir,ماروني,كسروان,List3,200,0.36,Loser,,,,,
