Balda,RegCasa,place_id,Latitude,Longitude,Balda_Adj
أجدعبرين,الكوره,,,,أجدبرين
ادونيس وسنور,جبيل,,,,ادونيس
اغميد,عاليه,,,,اغمد
الانصار,بعلبك,,,,انصار 
البرانية ,بعلبك,,,,
البص قسم 1,صور,,,,البص 
البص قسم 3,صور,,,,البص 
البص قسم 5,صور,,,,البص 
البطال,الشوف,,,,
البقيعه ومسرح,البترون,,,,
البويضة,مرجعيون,,,,البويضة
البويضة الشمالية,الهرمل,,,,
التليل,عكار,,,,
التوفيقيه,بعلبك,,,,
التويتة,زحلة,,,,
الجليلية,الشوف,,,,
الحدث الشمالي,بعلبك,,,,الحدث
الحدث الغربي,بعلبك,,,,الحدث
الحدث قبلي,بعبدا,,,,الحدث
الحويش,عكار,,,,
الخاربة,جبيل,,,,
الدكرمان,صيدا,ChIJl4Ue9T_wHhURhhD_ueNBHhg,33.5570691,35.372948,صيدا
الدلافه,حاصبيا,,,,
الدوسه,عكار,,,,
الراسية التحتا,زحلة,,,,الراسية
الراسية الفوقا,زحلة,,,,الراسية
الريش الغربي,بعلبك,,,,الريش
الريش ,بعلبك,,,,
الزويتيني,صيدا,ChIJl4Ue9T_wHhURhhD_ueNBHhg,33.5570691,35.372948,صيدا
السريرة,جزين,,,,
السفيرة,الضنية,,,,
الشاويه والقنيطره,المتن,,,,
الشواغير التحتا,الهرمل,,,,الشواغير
الشواغير الفوقا,الهرمل,,,,الشواغير
الصوانية,بعلبك,,,,
الظهيرة,صور,,,,
العبره وشوان,كسروان,,,,
العقيدية,بعلبك,,,,
العلاق,بعلبك,,,,
الغباطية,جزين,,,,
الفاكهه مار جرجس,بعلبك,,,,
الفتاحات وهربونا,البترون,,,,
الفرزل التحتا,زحلة,,,,الفرزل
الفرزل الفوقا,زحلة,,,,الفرزل
القبيات غوايا,عكار,,,,
القبيات مرتموره,عكار,,,,
القرنية,الهرمل,,,,
الكحلونية,بعبدا,,,,
الكشك,صيدا,ChIJl4Ue9T_wHhURhhD_ueNBHhg,33.5570691,35.372948,صيدا
الكنان,صيدا,ChIJl4Ue9T_wHhURhhD_ueNBHhg,33.5570691,35.372948,صيدا
المحتقرة ودير المخلص,الشوف,,,,
المحيدثة,المتن,,,,
المزاريب,جبيل,,,,
المسالخية,صيدا,ChIJl4Ue9T_wHhURhhD_ueNBHhg,33.5570691,35.372948,صيدا
المطل,الضنية,,,,
المعلقة الشمالي,زحلة,,,,المعلقة
المغروبلا,بشري,,,,
المغيري,جبيل,,,,
المونسه,عكار,,,,
الميدان الشرقي,زحلة,,,,الميدان
الميدان الغربي,زحلة,,,,الميدان
النبي شيت طبشار,بعلبك,,,,النبي شيت 
النبي نعام,بعلبك,,,,
النقره,بعلبك,,,,
النمورة و كفرجريف,كسروان,,,,
النهريه وبستان الحرش,عكار,,,,
الوقف,زحلة,,,,
بتخنيه,بعبدا,,,,
بتياس,زحلة,,,,
بجدرفل,البترون,,,,
بحنين وكفرتعلا,جزين,,,,
بحواره,عاليه,,,,
بخشتيه,عاليه,,,,
بدبهون,الكوره,,,,
بريتال اليونسية,بعلبك,,,,
بريتال شميس,بعلبك,,,,
بريتال شميس غربي,بعلبك,,,,
بطلون,عاليه,,,,
بعقلين التحتا,الشوف,,,,
بعقلين الفوقا,الشوف,,,,
بقاعكفرا,بشري,,,,
بقرزلا,عكار,,,,
بقعتوته,كسروان,,,,
بني صخر,عكار,,,,
بو زريده,عاليه,,,,
بيت الككو,المتن,,,,
بيت حاويك,الضنية,,,,
بيت شباب تحتاني,المتن,,,,بيت شباب
بيت شباب فوقاني,المتن,,,,بيت شباب
بيت صليبي,بعلبك,,,,
بيت غطاس,عكار,,,,
بيت مندر,بشري,,,,
تبنين الكاثوليك,بنت جبيل,,,,
تحويطة النهر,بعبدا,,,,
ترتج,جبيل,,,,
تل ذنوب,البقاع الغربي,,,,
تلحميرة,عكار,,,,
تولا الجبه,زغرتا,,,,
جدرا - وادي الزينة,الشوف,,,,جدرا
جرمنايا,عكار,,,,
جنه ومار سركيس,جبيل,,,,
حاجي جبلي,زحلة,,,,
حارة البطم,بعبدا,,,,
حارة الخاصة,الكوره,,,,
حارة حريك قرانوح,بعبدا,,,,حارة حريك 
حكر الشيخ طابا,عكار,,30.049433,31.2011875,
حميص,زغرتا,,,,
حوش الزراعنة,زحلة,,,,
,صور,,,,
,بنت جبيل,,,,
,بعلبك,,,,
,زحلة,,,,
,زغرتا,,,,
,النبطية,,,,
,بشري,,,,
,الهرمل,,,,
حيتولي ووادي الليمون,جزين,,,,
خريبة الجرد,عكار,,,,
خضربك,زحلة,,,,
دار شمزين,الكوره,,,,
داعل,البترون,,,,
دملصا,جبيل,,,,
دورس الشحاديه,بعلبك,,,,
دوير الرمان,عاليه,,,,
دير خونا وتلتيته,بعبدا,,,,
ذوق الحبالصة,عكار,,,,
ذوق المقشرين,عكار,,,,
راشكيدا,البترون,,,,
راشيا الفوقا,راشيَا,,,,
رشكده,البترون,,,,
رماسا,بعلبك,,,,
ريمات وشقاديف,جزين,,,,
سردا والعمرا,مرجعيون,,,,
سلساتا,راشيَا,,,,
سلفايا,عاليه,,,,
شبعا الشرقي,حاصبيا,,,,شبعا
شبعا الغربي,حاصبيا,,,,شبعا
شمسطار الجنوبي,بعلبك,,,,شمسطار
شمسطار الشرقي,بعلبك,,,,شمسطار
شمسطار الشمالي,بعلبك,,,,شمسطار
شمسطار الغربي,بعلبك,,,,شمسطار
شمع,صور,,,,
شهابية الفاعور,زحلة,,,,
شوريت,الشوف,,,,
صبوبا,بعلبك,,,,
ضهر القنبر,عكار,,,,
ضهور الهوا,الكوره,,,,
طاريا الجنوبي,بعلبك,,,,طاريا
طاريا الشمالي,بعلبك,,,,طاريا
ظهر الليسينة,عكار,,,,
عاليه وسطاني,عاليه,,,,
عترين,الشوف,,,,
عمار البيكات,عكار,,,,
عنايا وكفربعال,جبيل,,,,
عوره,البترون,,,,
عين الذهب (دنبو قديما),عكار,,,,
عين الزرقا,صور,,,,
عين السوداء,بعلبك,,,,
عين الشلال,جبيل,,,,
عين الغويبه,جبيل,,,,
عين المرج,عاليه,,,,
عين تراز,عاليه,,,,
عين جويق,عاليه,,,,
غزير الجامع,كسروان,,,,
غزير القناة,كسروان,,,,
غفره,بعلبك,,,,
فرض,عكار,,30.051626,31.2341402,
فيسان,الهرمل,,,,
قب الياس التحتا,زحلة,,,,قب الياس
قب الياس الفوقا,زحلة,,,,قب الياس
قبة دورس,بعلبك,,,,
قبلي,عاليه,,,,
قتالي,جزين,,,,
قرحه,عكار,,,,
قرطبا الجنوبية,جبيل,,,,قرطبا
قرطبا الشمالية,جبيل,,,,قرطبا
قطين وحيداب,جزين,,,,
قلد السبع,بعلبك,,,,
قليا,البقاع الغربي,,,,
قندولا,البترون,,,,
قنيور,بشري,,,,
كابوسية,زحلة,,,,
كفربنين,المنية,,,,
كفرتون,عكار,,,,
كفرتيه,المتن,,,,
كفرجرة,جزين,,,,
كفرحي,الشوف,,,,
كفردان الغربي,بعلبك,,,,كفردان
كفردبش,بعلبك,,,,
كفرشلان,المنية,,,,
كفرشليمان,البترون,,,,
كفرقطرة,الشوف,,,,
كفرمسحون,جبيل,,,,
كفرنون,عكار,,,,
مار شعيا والمزكه,المتن,,,,
مجدلونا,الشوف,,,,
محلة المسيحيين,بعلبك,,,,
مدوخا,راشيَا,,,,
مراح السراج,المنية,,,,
مراح السفيره,الضنية,,,,
مزرعة آل سويدان,بعلبك,,,,
مزرعة ابو صليبي,بعلبك,,,,
مزرعة التوت,بعلبك,,,,
مزرعة الضليل,بعلبك,,,,
مزرعة الفريديس,زغرتا,,,,
مزرعة المطحنة,جزين,,,,
مزرعة بيت الفقيه,الهرمل,,,,
مزرعة بيت مطر,بعلبك,,,,
مزرعة حوقا,زغرتا,,,,
مزرعة سجد,الهرمل,,,,
مصنع الزهره,بعلبك,,,,
مقنه,بعلبك,,,,
مكسر العبد,صيدا,ChIJl4Ue9T_wHhURhhD_ueNBHhg,33.5570691,35.372948,صيدا
نبحا المحفارة,بعلبك,,,,
نحلا,البترون,,,,
هرهريا والقطين,كسروان,,,,
هيتلا,عكار,,,,
وادي الرطل,الهرمل,,,,
وادي الزين,بعلبك,,,,
وادي الصفا الشرقي,بعلبك,,,,
وادي العس,الهرمل,,,,
وادي المشمشه,بعلبك,,,,
وادي بنحلية,الشوف,,,,
وادي بنيت,الهرمل,,,,
يوغون اولوك,زحلة,,,,
